"","Passage","bTau","bGal","DoublingTime"
"1",6,0.37335,0.48,35
"2",8,0.38375,4,36.1307692307692
"3",9,0.39415,7.52,37.2615384615385
"4",10,0.32088,11.04,38.3923076923077
"5",11,0.280825,14.56,39.5230769230769
"6",12,0.22891,18.08,40.6538461538462
"7",13,0.389875,21.6,41.7846153846154
"8",14,0.313285,23.7111111111111,42.9153846153846
"9",15,0.348405,25.8222222222222,44.0461538461538
"10",16,0.350665,27.9333333333333,45.1769230769231
"11",17,0.30051,30.0444444444444,46.3076923076923
"12",18,0.40995,32.1555555555556,47.4384615384615
"13",19,0.210425,34.2666666666667,48.5692307692308
"14",20,0.189005,36.3777777777778,49.7
"15",21,0.30728,38.4888888888889,50.8307692307692
"16",22,0.40432,40.6,51.9615384615385
"17",23,0.33441,42.7111111111111,53.0923076923077
"18",24,0.258635,44.8222222222222,54.2230769230769
"19",25,0.0621,46.9333333333333,55.3538461538462
"20",26,0.13462,49.0444444444445,56.4846153846154
