Passage;bTau;bGal;DoublingTime
7;0,2575;0,7;
7;0,2525;0,7;
7;0,1783;0,7;
7;0,2506;0,7;
7;0,2406;0,7;
7;0,1471;0,7;
7;0,1852;0,7;
7;0,2569;0,7;
7;0,3012;0,7;
7;0,2174;0,7;
7;0,2194;0,7;
7;0,327;0,7;
7;0,2702;0,7;
7;0,2412;0,7;
7;0,1871;0,7;
7;0,2397;0,7;
7;0,2751;0,7;
7;0,1869;0,7;
7;0,1876;0,7;
7;0,2096;0,7;
8;0,4597;3,7;
8;0,5748;3,7;
8;0,4728;3,7;
8;0,57;3,7;
8;0,6203;3,7;
8;0,2289;3,7;
8;0,2457;3,7;
8;0,2487;3,7;
8;0,2142;3,7;
8;0,5696;3,7;
8;0,2006;3,7;
8;0,1689;3,7;
8;0,5684;3,7;
8;0,5511;3,7;
8;0,5407;3,7;
8;0,4865;3,7;
8;0,5599;3,7;
8;0,1374;3,7;
8;0,1324;3,7;
8;0,2332;3,7;
9;0,231;6,7;
9;0,3024;6,7;
9;0,293;6,7;
9;0,3204;6,7;
9;0,3306;6,7;
9;0,2447;6,7;
9;0,2442;6,7;
9;0,2579;6,7;
9;0,3183;6,7;
9;0,3028;6,7;
9;0,4225;6,7;
9;0,4185;6,7;
9;0,3009;6,7;
9;0,2703;6,7;
9;0,2457;6,7;
9;0,2382;6,7;
9;0,1773;6,7;
9;0,1727;6,7;
9;0,1323;6,7;
9;0,403;6,7;
10;0,2862;9,7;
10;0,1807;9,7;
10;0,1636;9,7;
10;0,1944;9,7;
10;0,2587;9,7;
10;0,2676;9,7;
10;0,2445;9,7;
10;0,2886;9,7;
10;0,2122;9,7;
10;0,2909;9,7;
10;0,3;9,7;
10;0,2257;9,7;
10;0,2091;9,7;
10;0,2484;9,7;
10;0,1439;9,7;
10;0,2304;9,7;
10;0,2153;9,7;
10;0,1277;9,7;
10;0,2518;9,7;
10;0,1734;9,7;
11;0,3377;11,12;
11;0,1273;11,12;
11;0,3263;11,12;
11;0,4284;11,12;
11;0,3194;11,12;
11;0,3179;11,12;
11;0,3378;11,12;
11;0,276;11,12;
11;0,1018;11,12;
11;0,014;11,12;
11;0,0946;11,12;
11;0,0069;11,12;
11;0,2516;11,12;
11;0,161;11,12;
11;0,2943;11,12;
11;0,1754;11,12;
11;0,1189;11,12;
11;0,3936;11,12;
11;0,2799;11,12;
11;0,3339;11,12;
12;-0,079;12,54;
12;0,1922;12,54;
12;0,2921;12,54;
12;0,2711;12,54;
12;0,0461;12,54;
12;0,3181;12,54;
12;0,2302;12,54;
12;0,0278;12,54;
12;0,2324;12,54;
12;0,1297;12,54;
12;0,0512;12,54;
12;0,3541;12,54;
12;-0,0456;12,54;
12;-0,0236;12,54;
12;-0,0345;12,54;
12;0,29;12,54;
12;-0,094;12,54;
12;0,0049;12,54;
12;0,3399;12,54;
12;-0,04;12,54;
13;-0,2012;13,96;
13;-0,281;13,96;
13;-0,0479;13,96;
13;-0,091;13,96;
13;-0,108;13,96;
13;-0,0414;13,96;
13;0,3045;13,96;
13;-0,2324;13,96;
13;-0,1379;13,96;
13;0,1961;13,96;
13;0,1596;13,96;
13;-0,16;13,96;
13;-0,0128;13,96;
13;-0,0543;13,96;
13;0,0129;13,96;
13;-0,1365;13,96;
13;-0,2672;13,96;
13;-0,1647;13,96;
13;-0,0368;13,96;
13;0,0079;13,96;
14;0,0292;15,38;
14;-0,3143;15,38;
14;0,0779;15,38;
14;-0,2557;15,38;
14;-0,1579;15,38;
14;-0,1222;15,38;
14;-0,2071;15,38;
14;-0,2467;15,38;
14;-0,1831;15,38;
14;-0,2024;15,38;
14;0,0039;15,38;
14;0,0361;15,38;
14;-0,0786;15,38;
14;-0,1454;15,38;
14;-0,079;15,38;
14;0,0397;15,38;
14;-0,1213;15,38;
14;-0,0828;15,38;
14;-0,1652;15,38;
14;-0,3601;15,38;
16;-0,188895;16,8;
22;-0,25104;32,2;
24;-0,313185;36,5;
