Cell;Passage;bTau;bGal;DoublingTime
DF2;6;;;35
DF2;8;0,2925;4;
DF2;8;0,3868;4;
DF2;8;0,3334;4;
DF2;8;0,3827;4;
DF2;8;0,3183;4;
DF2;8;0,4394;4;
DF2;8;0,4551;4;
DF2;8;0,3695;4;
DF2;8;0,4033;4;
DF2;8;0,4001;4;
DF2;8;0,4687;4;
DF2;8;0,4601;4;
DF2;8;0,3238;4;
DF2;8;0,439;4;
DF2;8;0,3951;4;
DF2;8;0,3953;4;
DF2;8;0,4242;4;
DF2;8;0,3402;4;
DF2;8;0,3287;4;
DF2;8;0,3188;4;
DF2;9;0,2993;;
DF2;9;0,3881;;
DF2;9;0,3467;;
DF2;9;0,3695;;
DF2;9;0,3361;;
DF2;9;0,3735;;
DF2;9;0,3509;;
DF2;9;0,4243;;
DF2;9;0,4369;;
DF2;9;0,4736;;
DF2;9;0,3587;;
DF2;9;0,2808;;
DF2;9;0,5102;;
DF2;9;0,4357;;
DF2;9;0,3962;;
DF2;9;0,3748;;
DF2;9;0,3999;;
DF2;9;0,4879;;
DF2;9;0,4453;;
DF2;9;0,3946;;
DF2;10;0,304;;
DF2;10;0,3441;;
DF2;10;0,2968;;
DF2;10;0,3114;;
DF2;10;0,3295;;
DF2;10;0,3464;;
DF2;10;0,2253;;
DF2;10;0,3723;;
DF2;10;0,3254;;
DF2;10;0,3687;;
DF2;10;0,3167;;
DF2;10;0,2861;;
DF2;10;0,3496;;
DF2;10;0,3341;;
DF2;10;0,3357;;
DF2;10;0,2966;;
DF2;10;0,3266;;
DF2;10;0,3176;;
DF2;10;0,2821;;
DF2;10;0,3486;;
DF2;11;0,2315;;
DF2;11;0,1933;;
DF2;11;0,2804;;
DF2;11;0,288;;
DF2;11;0,2333;;
DF2;11;0,2654;;
DF2;11;0,268;;
DF2;11;0,3707;;
DF2;11;0,3422;;
DF2;11;0,2421;;
DF2;11;0,3822;;
DF2;11;0,2977;;
DF2;11;0,2644;;
DF2;11;0,2359;;
DF2;11;0,2473;;
