Cell;Passage;bTau;bGal;DoublingTime
DF2;6;0,37335;0,48;35
DF2;8;0,2925;4;36,13076923
DF2;8;0,3868;4;36,13076923
DF2;8;0,3334;4;36,13076923
DF2;8;0,3827;4;36,13076923
DF2;8;0,3183;4;36,13076923
DF2;8;0,4394;4;36,13076923
DF2;8;0,4551;4;36,13076923
DF2;8;0,3695;4;36,13076923
DF2;8;0,4033;4;36,13076923
DF2;8;0,4001;4;36,13076923
DF2;8;0,4687;4;36,13076923
DF2;8;0,4601;4;36,13076923
DF2;8;0,3238;4;36,13076923
DF2;8;0,439;4;36,13076923
DF2;8;0,3951;4;36,13076923
DF2;8;0,3953;4;36,13076923
DF2;8;0,4242;4;36,13076923
DF2;8;0,3402;4;36,13076923
DF2;8;0,3287;4;36,13076923
DF2;8;0,3188;4;36,13076923
DF2;9;0,2993;7,52;37,26153846
DF2;9;0,3881;7,52;37,26153846
DF2;9;0,3467;7,52;37,26153846
DF2;9;0,3695;7,52;37,26153846
DF2;9;0,3361;7,52;37,26153846
DF2;9;0,3735;7,52;37,26153846
DF2;9;0,3509;7,52;37,26153846
DF2;9;0,4243;7,52;37,26153846
DF2;9;0,4369;7,52;37,26153846
DF2;9;0,4736;7,52;37,26153846
DF2;9;0,3587;7,52;37,26153846
DF2;9;0,2808;7,52;37,26153846
DF2;9;0,5102;7,52;37,26153846
DF2;9;0,4357;7,52;37,26153846
DF2;9;0,3962;7,52;37,26153846
DF2;9;0,3748;7,52;37,26153846
DF2;9;0,3999;7,52;37,26153846
DF2;9;0,4879;7,52;37,26153846
DF2;9;0,4453;7,52;37,26153846
DF2;9;0,3946;7,52;37,26153846
DF2;10;0,304;11,04;38,39230769
DF2;10;0,3441;11,04;38,39230769
DF2;10;0,2968;11,04;38,39230769
DF2;10;0,3114;11,04;38,39230769
DF2;10;0,3295;11,04;38,39230769
DF2;10;0,3464;11,04;38,39230769
DF2;10;0,2253;11,04;38,39230769
DF2;10;0,3723;11,04;38,39230769
DF2;10;0,3254;11,04;38,39230769
DF2;10;0,3687;11,04;38,39230769
DF2;10;0,3167;11,04;38,39230769
DF2;10;0,2861;11,04;38,39230769
DF2;10;0,3496;11,04;38,39230769
DF2;10;0,3341;11,04;38,39230769
DF2;10;0,3357;11,04;38,39230769
DF2;10;0,2966;11,04;38,39230769
DF2;10;0,3266;11,04;38,39230769
DF2;10;0,3176;11,04;38,39230769
DF2;10;0,2821;11,04;38,39230769
DF2;10;0,3486;11,04;38,39230769
DF2;11;0,2315;14,56;39,52307692
DF2;11;0,1933;14,56;39,52307692
DF2;11;0,2804;14,56;39,52307692
DF2;11;0,288;14,56;39,52307692
DF2;11;0,2333;14,56;39,52307692
DF2;11;0,2654;14,56;39,52307692
DF2;11;0,268;14,56;39,52307692
DF2;11;0,3707;14,56;39,52307692
DF2;11;0,3422;14,56;39,52307692
DF2;11;0,2421;14,56;39,52307692
DF2;11;0,3822;14,56;39,52307692
DF2;11;0,2977;14,56;39,52307692
DF2;11;0,2644;14,56;39,52307692
DF2;11;0,2359;14,56;39,52307692
DF2;11;0,2473;14,56;39,52307692
DF2;11;0,2037;14,56;39,52307692
DF2;11;0,3286;14,56;39,52307692
DF2;11;0,3073;14,56;39,52307692
DF2;11;0,2866;14,56;39,52307692
DF2;11;0,3479;14,56;39,52307692
DF2;12;0,2309;18,08;40,65384615
DF2;12;0,3007;18,08;40,65384615
DF2;12;0,2773;18,08;40,65384615
DF2;12;0,3431;18,08;40,65384615
DF2;12;0,2629;18,08;40,65384615
DF2;12;0,2575;18,08;40,65384615
DF2;12;0,19;18,08;40,65384615
DF2;12;0,1601;18,08;40,65384615
DF2;12;0,1819;18,08;40,65384615
DF2;12;0,1697;18,08;40,65384615
DF2;12;0,1066;18,08;40,65384615
DF2;12;0,2471;18,08;40,65384615
DF2;12;0,2402;18,08;40,65384615
DF2;12;0,2576;18,08;40,65384615
DF2;12;0,2113;18,08;40,65384615
DF2;12;0,1595;18,08;40,65384615
DF2;12;0,2678;18,08;40,65384615
DF2;12;0,2578;18,08;40,65384615
DF2;12;0,235;18,08;40,65384615
DF2;12;0,2212;18,08;40,65384615
DF2;13;0,3632;21,6;41,78461538
DF2;13;0,3437;21,6;41,78461538
DF2;13;0,35;21,6;41,78461538
DF2;13;0,2931;21,6;41,78461538
DF2;13;0,4157;21,6;41,78461538
DF2;13;0,3549;21,6;41,78461538
DF2;13;0,4363;21,6;41,78461538
DF2;13;0,3374;21,6;41,78461538
DF2;13;0,4542;21,6;41,78461538
DF2;13;0,407;21,6;41,78461538
DF2;13;0,4866;21,6;41,78461538
DF2;13;0,3994;21,6;41,78461538
DF2;13;0,4114;21,6;41,78461538
DF2;13;0,3679;21,6;41,78461538
DF2;13;0,3009;21,6;41,78461538
DF2;13;0,4063;21,6;41,78461538
DF2;13;0,4303;21,6;41,78461538
DF2;13;0,4194;21,6;41,78461538
DF2;13;0,4341;21,6;41,78461538
DF2;13;0,3857;21,6;41,78461538
DF2;14;0,2814;23,71111111;42,91538462
DF2;14;0,369;23,71111111;42,91538462
DF2;14;0,3091;23,71111111;42,91538462
DF2;14;0,2749;23,71111111;42,91538462
DF2;14;0,3657;23,71111111;42,91538462
DF2;14;0,3701;23,71111111;42,91538462
DF2;14;0,3025;23,71111111;42,91538462
DF2;14;0,2373;23,71111111;42,91538462
DF2;14;0,2913;23,71111111;42,91538462
DF2;14;0,2795;23,71111111;42,91538462
DF2;14;0,3451;23,71111111;42,91538462
DF2;14;0,3118;23,71111111;42,91538462
DF2;14;0,3313;23,71111111;42,91538462
DF2;14;0,2711;23,71111111;42,91538462
DF2;14;0,2193;23,71111111;42,91538462
DF2;14;0,2941;23,71111111;42,91538462
DF2;14;0,3025;23,71111111;42,91538462
DF2;14;0,3479;23,71111111;42,91538462
DF2;14;0,4183;23,71111111;42,91538462
DF2;14;0,3435;23,71111111;42,91538462
DF2;15;0,3214;25,82222222;44,04615385
DF2;15;0,2732;25,82222222;44,04615385
DF2;15;0,3905;25,82222222;44,04615385
DF2;15;0,2343;25,82222222;44,04615385
DF2;15;0,2273;25,82222222;44,04615385
DF2;15;0,381;25,82222222;44,04615385
DF2;15;0,4254;25,82222222;44,04615385
DF2;15;0,3993;25,82222222;44,04615385
DF2;15;0,4083;25,82222222;44,04615385
DF2;15;0,3499;25,82222222;44,04615385
DF2;15;0,378;25,82222222;44,04615385
DF2;15;0,3496;25,82222222;44,04615385
DF2;15;0,3834;25,82222222;44,04615385
DF2;15;0,3646;25,82222222;44,04615385
DF2;15;0,3611;25,82222222;44,04615385
DF2;15;0,3046;25,82222222;44,04615385
DF2;15;0,3772;25,82222222;44,04615385
DF2;15;0,32;25,82222222;44,04615385
DF2;15;0,3598;25,82222222;44,04615385
DF2;15;0,3592;25,82222222;44,04615385
DF2;16;0,4041;27,93333333;45,17692308
DF2;16;0,3321;27,93333333;45,17692308
DF2;16;0,2964;27,93333333;45,17692308
DF2;16;0,2882;27,93333333;45,17692308
DF2;16;0,2893;27,93333333;45,17692308
DF2;16;0,3979;27,93333333;45,17692308
DF2;16;0,2557;27,93333333;45,17692308
DF2;16;0,2969;27,93333333;45,17692308
DF2;16;0,3586;27,93333333;45,17692308
DF2;16;0,3795;27,93333333;45,17692308
DF2;16;0,3844;27,93333333;45,17692308
DF2;16;0,2825;27,93333333;45,17692308
DF2;16;0,3266;27,93333333;45,17692308
DF2;16;0,3887;27,93333333;45,17692308
DF2;16;0,3867;27,93333333;45,17692308
DF2;16;0,3841;27,93333333;45,17692308
DF2;16;0,3967;27,93333333;45,17692308
DF2;16;0,4141;27,93333333;45,17692308
DF2;16;0,4803;27,93333333;45,17692308
DF2;16;0,2705;27,93333333;45,17692308
DF2;17;0,2673;30,04444444;46,30769231
DF2;17;0,2942;30,04444444;46,30769231
DF2;17;0,2809;30,04444444;46,30769231
DF2;17;0,2916;30,04444444;46,30769231
DF2;17;0,2797;30,04444444;46,30769231
DF2;17;0,2865;30,04444444;46,30769231
DF2;17;0,4208;30,04444444;46,30769231
DF2;17;0,3102;30,04444444;46,30769231
DF2;17;0,3367;30,04444444;46,30769231
DF2;17;0,3551;30,04444444;46,30769231
DF2;17;0,2418;30,04444444;46,30769231
DF2;17;0,3608;30,04444444;46,30769231
DF2;17;0,3579;30,04444444;46,30769231
DF2;17;0,2806;30,04444444;46,30769231
DF2;17;0,2736;30,04444444;46,30769231
DF2;17;0,26;30,04444444;46,30769231
DF2;17;0,3119;30,04444444;46,30769231
DF2;17;0,2709;30,04444444;46,30769231
DF2;17;0,3278;30,04444444;46,30769231
DF2;17;0,2019;30,04444444;46,30769231
DF2;18;0,4943;32,15555556;47,43846154
DF2;18;0,3517;32,15555556;47,43846154
DF2;18;0,4855;32,15555556;47,43846154
DF2;18;0,4197;32,15555556;47,43846154
DF2;18;0,4442;32,15555556;47,43846154
DF2;18;0,349;32,15555556;47,43846154
DF2;18;0,3888;32,15555556;47,43846154
DF2;18;0,3619;32,15555556;47,43846154
DF2;18;0,3926;32,15555556;47,43846154
DF2;18;0,3738;32,15555556;47,43846154
DF2;18;0,4326;32,15555556;47,43846154
DF2;18;0,4538;32,15555556;47,43846154
DF2;18;0,406;32,15555556;47,43846154
DF2;18;0,3898;32,15555556;47,43846154
DF2;18;0,3666;32,15555556;47,43846154
DF2;18;0,4627;32,15555556;47,43846154
DF2;18;0,3477;32,15555556;47,43846154
DF2;18;0,4724;32,15555556;47,43846154
DF2;18;0,3239;32,15555556;47,43846154
DF2;18;0,482;32,15555556;47,43846154
DF2;19;0,1555;34,26666667;48,56923077
DF2;19;0,1632;34,26666667;48,56923077
DF2;19;0,1841;34,26666667;48,56923077
DF2;19;0,3859;34,26666667;48,56923077
DF2;19;0,2702;34,26666667;48,56923077
DF2;19;0,1735;34,26666667;48,56923077
DF2;19;0,2113;34,26666667;48,56923077
DF2;19;0,2439;34,26666667;48,56923077
DF2;19;0,2838;34,26666667;48,56923077
DF2;19;0,2609;34,26666667;48,56923077
DF2;19;0,2212;34,26666667;48,56923077
DF2;19;0,1916;34,26666667;48,56923077
DF2;19;0,113;34,26666667;48,56923077
DF2;19;0,1781;34,26666667;48,56923077
DF2;19;0,193;34,26666667;48,56923077
DF2;19;0,1517;34,26666667;48,56923077
DF2;19;0,1754;34,26666667;48,56923077
DF2;19;0,2362;34,26666667;48,56923077
DF2;19;0,1979;34,26666667;48,56923077
DF2;19;0,2181;34,26666667;48,56923077
DF2;20;0,2521;36,37777778;49,7
DF2;20;0,2315;36,37777778;49,7
DF2;20;0,2569;36,37777778;49,7
DF2;20;0,1789;36,37777778;49,7
DF2;20;0,2378;36,37777778;49,7
DF2;20;0,2867;36,37777778;49,7
DF2;20;0,1724;36,37777778;49,7
